filepath	total_animal_pixels	total_eye_pixels	animal_length_pixels	animal_x_center	animal_y_center	animal_major	animal_minor	animal_theta	eye_x_center	eye_y_center	anterior	posterior	dorsal	ventral	ant_vec	pos_vec	dor_vec	ven_vec	eye_dorsal	head	tail	tail_tip	ventral_mask_endpoints	dorsal_mask_endpoints	anterior_mask_endpoints	pedestal_max_height_pixels	pedestal_area_pixels	poly_coeff	res	peak	deyecenter_pedestalmax_pixels
/Volumes/daphnia/data/full_100711_D10_57_juju4_1D_RigB_20170607T151900.bmp	77188.096975	1731	481.030146523	331.052763191	575.115695591	455.914010106	275.681694894	-0.544996391623	431.314269209	339.326400924	(449.22909507779684, 380.18301301903767)	(212.87643130379857, 770.04837816209101)	(448.92449147793104, 646.57445919242082)	(213.18103490366431, 503.65693198870781)	[-118.17633188699915, 194.93268257152664]	[118.17633188699912, -194.9326825715267]	[-117.87172828713335, -71.458763601856504]	[117.87172828713338, 71.458763601856504]	[447 367]	(468.89902666790982, 328.36064217428162)	(231.71732100424632, 746.85178946723465)	(213, 895)	((447.46789356348307, 275.19997956722847), (83.096420426568017, 516.91214594504481))	((612.12416797521701, 523.41276160344898), (213, 895))	((1139.5509098786829, 577.489637492778), (-249.63308781051421, 31.703964471404561))	9.07993909644	289.374555011	[ -1.26725357e-05   8.02980450e-06   4.42136975e-01   5.62404498e+00]	264.225287465	[ 566.08652386  479.61845891]	194.538999065
/Volumes/daphnia/data/full_100711_D10_57_juju4_1D_RigB_20170607T151900.bmp	77188.096975	1731	481.030146523	331.052763191	575.115695591	455.914010106	275.681694894	-0.544996391623	431.314269209	339.326400924	(449.22909507779684, 380.18301301903767)	(212.87643130379857, 770.04837816209101)	(448.92449147793104, 646.57445919242082)	(213.18103490366431, 503.65693198870781)	[-118.17633188699915, 194.93268257152664]	[118.17633188699912, -194.9326825715267]	[-117.87172828713335, -71.458763601856504]	[117.87172828713338, 71.458763601856504]	[447 367]	(468.89902666790982, 328.36064217428162)	(231.71732100424632, 746.85178946723465)	(213, 895)	((447.46789356348307, 275.19997956722847), (83.096420426568017, 516.91214594504481))	((612.12416797521701, 523.41276160344898), (213, 895))	((1139.5509098786829, 577.489637492778), (-249.63308781051421, 31.703964471404561))	9.07993909644	289.374555011	[ -1.26725357e-05   8.02980450e-06   4.42136975e-01   5.62404498e+00]	264.225287465	[ 566.08652386  479.61845891]	194.538999065
/Volumes/daphnia/data/full_100711_D10_57_juju4_1D_RigB_20170607T151900.bmp	114898.916025	1731	481.030146523	331.052763191	575.115695591	455.914010106	275.681694894	-0.544996391623	431.314269209	339.326400924	(449.22909507779684, 380.18301301903767)	(212.87643130379857, 770.04837816209101)	(448.92449147793104, 646.57445919242082)	(213.18103490366431, 503.65693198870781)	[-118.17633188699915, 194.93268257152664]	[118.17633188699912, -194.9326825715267]	[-117.87172828713335, -71.458763601856504]	[117.87172828713338, 71.458763601856504]	[447 367]	(468.89902666790982, 328.36064217428162)	(231.71732100424632, 746.85178946723465)	(213, 895)	((447.46789356348307, 275.19997956722847), (83.096420426568017, 516.91214594504481))	((612.12416797521701, 523.41276160344898), (213, 895))	((1139.5509098786829, 577.489637492778), (-249.63308781051421, 31.703964471404561))	9.07993909644	289.374555011	[ -1.26725357e-05   8.02980450e-06   4.42136975e-01   5.62404498e+00]	264.225287465	[ 566.08652386  479.61845891]	194.538999065
/Volumes/daphnia/data/full_100711_D10_57_juju4_1D_RigB_20170607T151900.bmp	114898.916025	1731	481.030146523	331.052763191	575.115695591	455.914010106	275.681694894	-0.544996391623	431.314269209	339.326400924	(449.22909507779684, 380.18301301903767)	(212.87643130379857, 770.04837816209101)	(448.92449147793104, 646.57445919242082)	(213.18103490366431, 503.65693198870781)	[-118.17633188699915, 194.93268257152664]	[118.17633188699912, -194.9326825715267]	[-117.87172828713335, -71.458763601856504]	[117.87172828713338, 71.458763601856504]	[447 367]	(468.89902666790982, 328.36064217428162)	(231.71732100424632, 746.85178946723465)	(213, 895)	((447.46789356348307, 275.19997956722847), (83.096420426568017, 516.91214594504481))	((612.12416797521701, 523.41276160344898), (213, 895))	((1139.5509098786829, 577.489637492778), (-249.63308781051421, 31.703964471404561))	9.07993909644	289.374555011	[ -1.26725357e-05   8.02980450e-06   4.42136975e-01   5.62404498e+00]	264.225287465	[ 566.08652386  479.61845891]	194.538999065
/Volumes/daphnia/data/full_100711_D10_57_juju4_1D_RigB_20170607T151900.bmp	114898.916025	1731	481.030146523	331.052763191	575.115695591	455.914010106	275.681694894	-0.544996391623	431.314269209	339.326400924	(449.22909507779684, 380.18301301903767)	(212.87643130379857, 770.04837816209101)	(448.92449147793104, 646.57445919242082)	(213.18103490366431, 503.65693198870781)	[-118.17633188699915, 194.93268257152664]	[118.17633188699912, -194.9326825715267]	[-117.87172828713335, -71.458763601856504]	[117.87172828713338, 71.458763601856504]	[447 367]	(468.89902666790982, 328.36064217428162)	(231.71732100424632, 746.85178946723465)	(213, 895)	((447.46789356348307, 275.19997956722847), (83.096420426568017, 516.91214594504481))	((612.12416797521701, 523.41276160344898), (213, 895))	((1139.5509098786829, 577.489637492778), (-249.63308781051421, 31.703964471404561))	9.07993909644	289.374555011	[ -1.26725357e-05   8.02980450e-06   4.42136975e-01   5.62404498e+00]	264.225287465	[ 566.08652386  479.61845891]	194.538999065
/Volumes/daphnia/data/full_100711_D10_57_juju4_1D_RigB_20170607T151900.bmp	114898.916025	1731	481.030146523	331.052763191	575.115695591	455.914010106	275.681694894	-0.544996391623	431.314269209	339.326400924	(449.22909507779684, 380.18301301903767)	(212.87643130379857, 770.04837816209101)	(448.92449147793104, 646.57445919242082)	(213.18103490366431, 503.65693198870781)	[-118.17633188699915, 194.93268257152664]	[118.17633188699912, -194.9326825715267]	[-117.87172828713335, -71.458763601856504]	[117.87172828713338, 71.458763601856504]	[447 367]	(468.89902666790982, 328.36064217428162)	(231.71732100424632, 746.85178946723465)	(213, 895)	((447.46789356348307, 275.19997956722847), (83.096420426568017, 516.91214594504481))	((612.12416797521701, 523.41276160344898), (213, 895))	((1139.5509098786829, 577.489637492778), (-249.63308781051421, 31.703964471404561))	9.07993909644	289.374555011	[ -1.26725357e-05   8.02980450e-06   4.42136975e-01   5.62404498e+00]	264.225287465	[ 566.08652386  479.61845891]	194.538999065
/Volumes/daphnia/data/full_100711_D10_57_juju4_1D_RigB_20170607T151900.bmp	114898.916025	1731	481.030146523	331.052763191	575.115695591	455.914010106	275.681694894	-0.544996391623	431.314269209	339.326400924	(449.22909507779684, 380.18301301903767)	(212.87643130379857, 770.04837816209101)	(448.92449147793104, 646.57445919242082)	(213.18103490366431, 503.65693198870781)	[-118.17633188699915, 194.93268257152664]	[118.17633188699912, -194.9326825715267]	[-117.87172828713335, -71.458763601856504]	[117.87172828713338, 71.458763601856504]	[447 367]	(468.89902666790982, 328.36064217428162)	(231.71732100424632, 746.85178946723465)	(213, 895)	((447.46789356348307, 275.19997956722847), (83.096420426568017, 516.91214594504481))	((612.12416797521701, 523.41276160344898), (213, 895))	((1139.5509098786829, 577.489637492778), (-249.63308781051421, 31.703964471404561))	9.07993909644	289.374555011	[ -1.26725357e-05   8.02980450e-06   4.42136975e-01   5.62404498e+00]	264.225287465	[ 566.08652386  479.61845891]	194.538999065
/Volumes/daphnia/data/full_100711_D10_57_juju4_1D_RigB_20170607T151900.bmp	114898.916025	1731	481.030146523	331.052763191	575.115695591	455.914010106	275.681694894	-0.544996391623	431.314269209	339.326400924	(449.22909507779684, 380.18301301903767)	(212.87643130379857, 770.04837816209101)	(448.92449147793104, 646.57445919242082)	(213.18103490366431, 503.65693198870781)	[-118.17633188699915, 194.93268257152664]	[118.17633188699912, -194.9326825715267]	[-117.87172828713335, -71.458763601856504]	[117.87172828713338, 71.458763601856504]	[447 367]	(468.89902666790982, 328.36064217428162)	(231.71732100424632, 746.85178946723465)	(213, 895)	((447.46789356348307, 275.19997956722847), (83.096420426568017, 516.91214594504481))	((612.12416797521701, 523.41276160344898), (213, 895))	((1139.5509098786829, 577.489637492778), (-249.63308781051421, 31.703964471404561))	9.07993909644	289.374555011	[ -1.26725357e-05   8.02980450e-06   4.42136975e-01   5.62404498e+00]	264.225287465	[ 566.08652386  479.61845891]	194.538999065
/Volumes/daphnia/data/full_100711_D10_57_juju4_1D_RigB_20170607T151900.bmp	114898.916025	1731	481.030146523	331.052763191	575.115695591	455.914010106	275.681694894	-0.544996391623	431.314269209	339.326400924	(449.22909507779684, 380.18301301903767)	(212.87643130379857, 770.04837816209101)	(448.92449147793104, 646.57445919242082)	(213.18103490366431, 503.65693198870781)	[-118.17633188699915, 194.93268257152664]	[118.17633188699912, -194.9326825715267]	[-117.87172828713335, -71.458763601856504]	[117.87172828713338, 71.458763601856504]	[447 367]	(468.89902666790982, 328.36064217428162)	(231.71732100424632, 746.85178946723465)	(213, 895)	((447.46789356348307, 275.19997956722847), (83.096420426568017, 516.91214594504481))	((612.12416797521701, 523.41276160344898), (213, 895))	((1139.5509098786829, 577.489637492778), (-249.63308781051421, 31.703964471404561))	9.07993909644	289.374555011	[ -1.26725357e-05   8.02980450e-06   4.42136975e-01   5.62404498e+00]	264.225287465	[ 566.08652386  479.61845891]	194.538999065
/Volumes/daphnia/data/full_100711_D10_57_juju4_1D_RigB_20170607T151900.bmp	114898.916025	1731	481.030146523	331.052763191	575.115695591	455.914010106	275.681694894	-0.544996391623	431.314269209	339.326400924	(449.22909507779684, 380.18301301903767)	(212.87643130379857, 770.04837816209101)	(448.92449147793104, 646.57445919242082)	(213.18103490366431, 503.65693198870781)	[-118.17633188699915, 194.93268257152664]	[118.17633188699912, -194.9326825715267]	[-117.87172828713335, -71.458763601856504]	[117.87172828713338, 71.458763601856504]	[447 367]	(468.89902666790982, 328.36064217428162)	(231.71732100424632, 746.85178946723465)	(213, 895)	((447.46789356348307, 275.19997956722847), (83.096420426568017, 516.91214594504481))	((612.12416797521701, 523.41276160344898), (213, 895))	((1139.5509098786829, 577.489637492778), (-249.63308781051421, 31.703964471404561))	9.07993909644	289.374555011	[ -1.26725357e-05   8.02980450e-06   4.42136975e-01   5.62404498e+00]	264.225287465	[ 566.08652386  479.61845891]	194.538999065
